date,year,tourney_name,tourney_id,surface,indoor,commitment,draw_size,url
19950717,1995,Stuttgart Outdoor,1995_321,Clay,Outdoor,$1040000,48,https://www.atptour.com/en/scores/archive/stuttgart/321/1995/results
19950717,1995,Washington,1995_418,Hard,Outdoor,$675000,56,https://www.atptour.com/en/scores/archive/washington/418/1995/results
19950724,1995,ATP Masters 1000 Canada,1995_421,Hard,Outdoor,$1795000,56,https://www.atptour.com/en/scores/archive/montreal/421/1995/results
19950724,1995,Amsterdam,1995_317,Clay,Outdoor,$500000,32,https://www.atptour.com/en/scores/archive/amsterdam/317/1995/results
19950731,1995,Kitzbuhel,1995_319,Clay,Outdoor,$425000,48,https://www.atptour.com/en/scores/archive/kitzbuhel/319/1995/results
19950731,1995,Prague,1995_379,Clay,Outdoor,$365000,32,https://www.atptour.com/en/scores/archive/prague/379/1995/results
19950731,1995,Los Angeles,1995_423,Hard,Outdoor,$328000,32,https://www.atptour.com/en/scores/archive/los-angeles/423/1995/results
19950807,1995,ATP Masters 1000 Cincinnati,1995_422,Hard,Outdoor,$1795000,56,https://www.atptour.com/en/scores/archive/cincinnati/422/1995/results
19950807,1995,San Marino,1995_475,Clay,Outdoor,$300000,32,https://www.atptour.com/en/scores/archive/san-marino/475/1995/results
19950814,1995,Indianapolis,1995_419,Hard,Outdoor,$1040000,56,https://www.atptour.com/en/scores/archive/indianapolis/419/1995/results
19950814,1995,New Haven,1995_420,Hard,Outdoor,$1040000,56,https://www.atptour.com/en/scores/archive/new-haven/420/1995/results
19950821,1995,Umag,1995_439,Clay,Outdoor,$400000,32,https://www.atptour.com/en/scores/archive/umag/439/1995/results
19950821,1995,Long Island,1995_441,Hard,Outdoor,$328000,32,https://www.atptour.com/en/scores/archive/long-island/441/1995/results
19950828,1995,US Open,1995_560,Hard,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-open/560/1995/results
19950911,1995,Bucharest,1995_773,Clay,Outdoor,$1375000,32,https://www.atptour.com/en/scores/archive/bucharest/773/1995/results
19950911,1995,Bordeaux,1995_323,Hard,Outdoor,$400000,32,https://www.atptour.com/en/scores/archive/bordeaux/323/1995/results
19950911,1995,Bogota,1995_359,Clay,Outdoor,$328000,32,https://www.atptour.com/en/scores/archive/bogota/359/1995/results
19950925,1995,Basel,1995_328,Hard,Indoor,$1000000,32,https://www.atptour.com/en/scores/archive/basel/328/1995/results
19950925,1995,Palermo,1995_325,Clay,Outdoor,$328000,32,https://www.atptour.com/en/scores/archive/palermo/325/1995/results
19951002,1995,Kuala Lumpur,1995_326,Carpet,Indoor,$414250,32,https://www.atptour.com/en/scores/archive/kuala-lumpur/326/1995/results
19951002,1995,Toulouse,1995_327,Hard,Indoor,$400000,32,https://www.atptour.com/en/scores/archive/toulouse/327/1995/results
19951002,1995,Valencia,1995_7306,Clay,Outdoor,$228000,32,https://www.atptour.com/en/scores/archive/valencia/7306/1995/results
19951009,1995,Tokyo Indoor,1995_428,Carpet,Indoor,$1020000,48,https://www.atptour.com/en/scores/archive/tokyo/428/1995/results
19951009,1995,Ostrava,1995_348,Carpet,Indoor,$400000,32,https://www.atptour.com/en/scores/archive/ostrava/348/1995/results
19951009,1995,Tel Aviv,1995_330,Hard,Outdoor,$275000,32,https://www.atptour.com/en/scores/archive/tel-aviv/330/1995/results
19951016,1995,Lyon,1995_7309,Carpet,Indoor,$600000,32,https://www.atptour.com/en/scores/archive/lyon/7309/1995/results
